original_language,content_count,avg_score,avg_popularity,avg_vote_count,movie_count,tv_count
en,632,7.09,13.89,2769.0,362,270
ja,101,7.98,13.83,940.0,20,81
ko,91,7.97,12.2,856.0,10,81
es,41,7.39,13.35,1263.0,14,27
hi,29,6.53,10.42,184.0,28,1
zh,20,7.91,8.86,250.0,6,14
fr,12,7.33,13.73,863.0,5,7
te,8,6.84,6.98,339.0,8,0
th,7,6.97,16.13,217.0,5,2
de,7,7.02,18.43,2227.0,5,2
it,6,6.52,9.41,425.0,4,2
ta,5,5.94,6.12,61.0,5,0
pl,5,7.0,13.82,2458.0,5,0
nl,5,6.54,9.14,173.0,4,1
id,5,6.9,6.17,213.0,4,1
da,5,7.54,7.2,422.0,2,3
tl,4,5.38,18.84,3.0,4,0
pt,4,7.04,6.7,282.0,2,2
sv,3,5.15,20.56,419.0,0,3
no,3,7.23,6.8,717.0,2,1
tr,2,7.88,17.77,2268.0,2,0
ru,1,6.85,11.83,407.0,0,1
kn,1,7.1,7.27,106.0,1,0
is,1,6.7,4.89,104.0,1,0
he,1,7.5,11.42,224.0,0,1
ar,1,7.2,6.42,37.0,1,0
